id,MoE-Inner-Warp,MoE-Inner-Weft,SM-Inner,MoE-Outer-Warp,MoE-Outer-Weft,SM-Outer,Friction Coefficient,Axial Load,Pre-strain,sample,Bunching (mm),image-front,image-s1,image-s2
0,100,180,3.128,150,103,0.484,0.2,3.00E-05,Inside jacket 1.6%,sample-10,29.79763793,sample-10_FrontView.jpg,sample-10_SideView_1.jpg,sample-10_SideView_2.jpg
1,100,340,3.128,70,70,1.79,0.14,3.00E-05,Inside jacket 1.6%,sample-1000,18.52265179,sample-1000_FrontView.jpg,sample-1000_SideView_1.jpg,sample-1000_SideView_2.jpg
2,100,340,3.128,70,70,1.79,0.14,3.00E-05,Inside jacket 0.44%,sample-1001,0.672018804,sample-1001_FrontView.jpg,sample-1001_SideView_1.jpg,sample-1001_SideView_2.jpg
3,100,340,3.128,70,70,1.79,0.14,3.00E-05,Outside jacket 0.5%,sample-1002,0.986220827,sample-1002_FrontView.jpg,sample-1002_SideView_1.jpg,sample-1002_SideView_2.jpg
4,100,340,3.128,70,70,1.79,0.14,6.60E-05,Inside jacket 1.6%,sample-1003,13.77431544,sample-1003_FrontView.jpg,sample-1003_SideView_1.jpg,sample-1003_SideView_2.jpg
5,100,340,3.128,70,70,1.79,0.14,6.60E-05,Inside jacket 0.44%,sample-1004,0.602235782,sample-1004_FrontView.jpg,sample-1004_SideView_1.jpg,sample-1004_SideView_2.jpg
6,100,340,3.128,70,70,1.79,0.14,6.60E-05,Outside jacket 0.5%,sample-1005,0.988150675,sample-1005_FrontView.jpg,sample-1005_SideView_1.jpg,sample-1005_SideView_2.jpg
7,100,340,3.128,70,70,1.79,0.2,3.00E-05,Inside jacket 1.6%,sample-1006,14.77750282,sample-1006_FrontView.jpg,sample-1006_SideView_1.jpg,sample-1006_SideView_2.jpg
8,100,340,3.128,70,70,1.79,0.2,3.00E-05,Inside jacket 0.44%,sample-1007,0.837986298,sample-1007_FrontView.jpg,sample-1007_SideView_1.jpg,sample-1007_SideView_2.jpg
9,100,340,3.128,70,70,1.79,0.2,3.00E-05,Outside jacket 0.5%,sample-1008,0.958544847,sample-1008_FrontView.jpg,sample-1008_SideView_1.jpg,sample-1008_SideView_2.jpg
10,100,340,3.128,70,70,1.79,0.2,6.60E-05,Inside jacket 1.6%,sample-1009,20.39175409,sample-1009_FrontView.jpg,sample-1009_SideView_1.jpg,sample-1009_SideView_2.jpg
11,100,340,3.128,70,70,1.79,0.2,6.60E-05,Inside jacket 0.44%,sample-1010,0.756073265,sample-1010_FrontView.jpg,sample-1010_SideView_1.jpg,sample-1010_SideView_2.jpg
12,100,340,3.128,70,70,1.79,0.2,6.60E-05,Outside jacket 0.5%,sample-1011,0.956644798,sample-1011_FrontView.jpg,sample-1011_SideView_1.jpg,sample-1011_SideView_2.jpg
13,100,340,3.128,90,103,0.484,0.14,3.00E-05,Inside jacket 1.6%,sample-1012,10.51792594,sample-1012_FrontView.jpg,sample-1012_SideView_1.jpg,sample-1012_SideView_2.jpg
14,100,340,3.128,90,103,0.484,0.14,3.00E-05,Inside jacket 0.44%,sample-1013,0.684637575,sample-1013_FrontView.jpg,sample-1013_SideView_1.jpg,sample-1013_SideView_2.jpg
15,100,340,3.128,90,103,0.484,0.14,3.00E-05,Outside jacket 0.5%,sample-1014,1.210095403,sample-1014_FrontView.jpg,sample-1014_SideView_1.jpg,sample-1014_SideView_2.jpg
16,100,340,3.128,90,103,0.484,0.14,6.60E-05,Inside jacket 1.6%,sample-1015,15.2676817,sample-1015_FrontView.jpg,sample-1015_SideView_1.jpg,sample-1015_SideView_2.jpg
17,100,340,3.128,90,103,0.484,0.14,6.60E-05,Inside jacket 0.44%,sample-1016,0.848957817,sample-1016_FrontView.jpg,sample-1016_SideView_1.jpg,sample-1016_SideView_2.jpg
18,100,340,3.128,90,103,0.484,0.14,6.60E-05,Outside jacket 0.5%,sample-1017,1.220539521,sample-1017_FrontView.jpg,sample-1017_SideView_1.jpg,sample-1017_SideView_2.jpg
19,100,340,3.128,90,103,0.484,0.2,3.00E-05,Inside jacket 1.6%,sample-1018,22.41841315,sample-1018_FrontView.jpg,sample-1018_SideView_1.jpg,sample-1018_SideView_2.jpg
20,100,340,3.128,90,103,0.484,0.2,3.00E-05,Inside jacket 0.44%,sample-1019,0.938001676,sample-1019_FrontView.jpg,sample-1019_SideView_1.jpg,sample-1019_SideView_2.jpg
21,100,340,3.128,90,103,0.484,0.2,3.00E-05,Outside jacket 0.5%,sample-1020,1.28645422,sample-1020_FrontView.jpg,sample-1020_SideView_1.jpg,sample-1020_SideView_2.jpg
22,100,340,3.128,90,103,0.484,0.2,6.60E-05,Inside jacket 1.6%,sample-1021,16.02317917,sample-1021_FrontView.jpg,sample-1021_SideView_1.jpg,sample-1021_SideView_2.jpg
23,100,340,3.128,90,103,0.484,0.2,6.60E-05,Inside jacket 0.44%,sample-1022,0.890995645,sample-1022_FrontView.jpg,sample-1022_SideView_1.jpg,sample-1022_SideView_2.jpg
24,100,340,3.128,90,103,0.484,0.2,6.60E-05,Outside jacket 0.5%,sample-1023,1.173699505,sample-1023_FrontView.jpg,sample-1023_SideView_1.jpg,sample-1023_SideView_2.jpg
25,100,340,3.128,90,103,1.79,0.14,3.00E-05,Inside jacket 1.6%,sample-1024,10.1991264,sample-1024_FrontView.jpg,sample-1024_SideView_1.jpg,sample-1024_SideView_2.jpg
26,100,340,3.128,90,103,1.79,0.14,3.00E-05,Inside jacket 0.44%,sample-1025,0.729109167,sample-1025_FrontView.jpg,sample-1025_SideView_1.jpg,sample-1025_SideView_2.jpg
27,100,340,3.128,90,103,1.79,0.14,3.00E-05,Outside jacket 0.5%,sample-1026,0.861725587,sample-1026_FrontView.jpg,sample-1026_SideView_1.jpg,sample-1026_SideView_2.jpg
28,100,340,3.128,90,103,1.79,0.14,6.60E-05,Inside jacket 1.6%,sample-1027,12.68484121,sample-1027_FrontView.jpg,sample-1027_SideView_1.jpg,sample-1027_SideView_2.jpg
29,100,340,3.128,90,103,1.79,0.14,6.60E-05,Inside jacket 0.44%,sample-1028,0.750536554,sample-1028_FrontView.jpg,sample-1028_SideView_1.jpg,sample-1028_SideView_2.jpg
30,100,340,3.128,90,103,1.79,0.14,6.60E-05,Outside jacket 0.5%,sample-1029,1.048486152,sample-1029_FrontView.jpg,sample-1029_SideView_1.jpg,sample-1029_SideView_2.jpg
31,100,340,3.128,90,103,1.79,0.2,3.00E-05,Inside jacket 1.6%,sample-1030,19.4916241,sample-1030_FrontView.jpg,sample-1030_SideView_1.jpg,sample-1030_SideView_2.jpg
32,100,340,3.128,90,103,1.79,0.2,3.00E-05,Inside jacket 0.44%,sample-1031,0.615619816,sample-1031_FrontView.jpg,sample-1031_SideView_1.jpg,sample-1031_SideView_2.jpg
33,100,340,3.128,90,103,1.79,0.2,3.00E-05,Outside jacket 0.5%,sample-1032,0.992792424,sample-1032_FrontView.jpg,sample-1032_SideView_1.jpg,sample-1032_SideView_2.jpg
34,100,340,3.128,90,103,1.79,0.2,6.60E-05,Inside jacket 1.6%,sample-1033,21.01724583,sample-1033_FrontView.jpg,sample-1033_SideView_1.jpg,sample-1033_SideView_2.jpg
35,100,340,3.128,90,103,1.79,0.2,6.60E-05,Inside jacket 0.44%,sample-1034,0.892091409,sample-1034_FrontView.jpg,sample-1034_SideView_1.jpg,sample-1034_SideView_2.jpg
36,100,340,3.128,90,103,1.79,0.2,6.60E-05,Outside jacket 0.5%,sample-1035,0.990916506,sample-1035_FrontView.jpg,sample-1035_SideView_1.jpg,sample-1035_SideView_2.jpg
37,100,340,3.128,90,250,0.484,0.14,3.00E-05,Inside jacket 1.6%,sample-1036,40.63166845,sample-1036_FrontView.jpg,sample-1036_SideView_1.jpg,sample-1036_SideView_2.jpg
