SI,e1,e2,load,fc,count,len,amp,image
0,0.1,0.07,6,0.01,8,17.33,0.794297,Snaking_E1_0_E2_0_Fric_0_load_0.jpg
1,0.1,0.07,8,0.01,7,31.82,1.7993,Snaking_E1_0_E2_0_Fric_0_load_1.jpg
2,0.1,0.07,10,0.01,11,33.88,2.26721,Snaking_E1_0_E2_0_Fric_0_load_2.jpg
3,0.1,0.07,12,0.01,10,40.09,4.42073,Snaking_E1_0_E2_0_Fric_0_load_3.jpg
4,0.1,0.07,14,0.01,12,42.01,2.53574,Snaking_E1_0_E2_0_Fric_0_load_4.jpg
5,0.1,0.07,6,5,7,14.87,1.55118,Snaking_E1_0_E2_0_Fric_1_load_0.jpg
6,0.1,0.07,8,5,13,31.36,1.77441,Snaking_E1_0_E2_0_Fric_1_load_1.jpg
7,0.1,0.07,10,5,10,34.87,2.90338,Snaking_E1_0_E2_0_Fric_1_load_2.jpg
8,0.1,0.07,12,5,9,39.86,2.56268,Snaking_E1_0_E2_0_Fric_1_load_3.jpg
9,0.1,0.07,14,5,8,42.86,3.87805,Snaking_E1_0_E2_0_Fric_1_load_4.jpg
10,0.1,0.07,6,10,8,18.76,0.969158,Snaking_E1_0_E2_0_Fric_2_load_0.jpg
11,0.1,0.07,8,10,10,30.44,1.71453,Snaking_E1_0_E2_0_Fric_2_load_1.jpg
12,0.1,0.07,10,10,9,33.4,4.12783,Snaking_E1_0_E2_0_Fric_2_load_2.jpg
13,0.1,0.07,12,10,10,37.18,3.70636,Snaking_E1_0_E2_0_Fric_2_load_3.jpg
14,0.1,0.07,14,10,10,43,4.05813,Snaking_E1_0_E2_0_Fric_2_load_4.jpg
15,0.1,0.07,6,15,9,18.81,0.911756,Snaking_E1_0_E2_0_Fric_3_load_0.jpg
16,0.1,0.07,8,15,7,26.16,2.12521,Snaking_E1_0_E2_0_Fric_3_load_1.jpg
17,0.1,0.07,10,15,9,37.18,2.85054,Snaking_E1_0_E2_0_Fric_3_load_2.jpg
18,0.1,0.07,12,15,8,34.77,4.51413,Snaking_E1_0_E2_0_Fric_3_load_3.jpg
19,0.1,0.07,14,15,10,41.74,5.89991,Snaking_E1_0_E2_0_Fric_3_load_4.jpg
20,0.1,0.07,6,20,9,19.78,0.874445,Snaking_E1_0_E2_0_Fric_4_load_0.jpg
21,0.1,0.07,8,20,8,26.22,2.05509,Snaking_E1_0_E2_0_Fric_4_load_1.jpg
22,0.1,0.07,10,20,9,35.51,3.26554,Snaking_E1_0_E2_0_Fric_4_load_2.jpg
23,0.1,0.07,12,20,9,39.83,2.67777,Snaking_E1_0_E2_0_Fric_4_load_3.jpg
24,0.1,0.07,14,20,12,44.76,4.79973,Snaking_E1_0_E2_0_Fric_4_load_4.jpg
25,0.1,0.07,6,25,7,14.88,1.46825,Snaking_E1_0_E2_0_Fric_5_load_0.jpg
26,0.1,0.07,8,25,9,31.73,2.11175,Snaking_E1_0_E2_0_Fric_5_load_1.jpg
27,0.1,0.07,10,25,10,36.3,3.45105,Snaking_E1_0_E2_0_Fric_5_load_2.jpg
28,0.1,0.07,12,25,11,39.94,2.46472,Snaking_E1_0_E2_0_Fric_5_load_3.jpg
29,0.1,0.07,14,25,7,39.81,6.02328,Snaking_E1_0_E2_0_Fric_5_load_4.jpg
30,0.1,0.07,6,30,7,14.82,1.07932,Snaking_E1_0_E2_0_Fric_6_load_0.jpg
31,0.1,0.07,8,30,9,27.46,2.59611,Snaking_E1_0_E2_0_Fric_6_load_1.jpg
32,0.1,0.07,10,30,9,37.13,1.99154,Snaking_E1_0_E2_0_Fric_6_load_2.jpg
33,0.1,0.07,12,30,9,38.17,3.84714,Snaking_E1_0_E2_0_Fric_6_load_3.jpg
34,0.1,0.07,14,30,11,45.23,1.99114,Snaking_E1_0_E2_0_Fric_6_load_4.jpg
35,0.1,0.07,6,35,7,14.39,1.39168,Snaking_E1_0_E2_0_Fric_7_load_0.jpg
36,0.1,0.07,8,35,12,31.96,2.37668,Snaking_E1_0_E2_0_Fric_7_load_1.jpg
37,0.1,0.07,10,35,9,35.04,1.6432,Snaking_E1_0_E2_0_Fric_7_load_2.jpg
38,0.1,0.07,12,35,13,39.41,1.65566,Snaking_E1_0_E2_0_Fric_7_load_3.jpg
39,0.1,0.07,14,35,9,44.47,3.60543,Snaking_E1_0_E2_0_Fric_7_load_4.jpg
40,0.1,0.07,6,40,9,19.81,0.896268,Snaking_E1_0_E2_0_Fric_8_load_0.jpg
41,0.1,0.07,8,40,10,30.83,1.87697,Snaking_E1_0_E2_0_Fric_8_load_1.jpg
42,0.1,0.07,10,40,12,36.33,2.13852,Snaking_E1_0_E2_0_Fric_8_load_2.jpg
43,0.1,0.07,12,40,8,40.88,2.71735,Snaking_E1_0_E2_0_Fric_8_load_3.jpg
